ids,targets,gr_scores,drgnn_scores,hs_scores
T29_1036_conv.pdb,0,0.179938,0.006574,-14.685300
T29_1037_conv.pdb,0,0.468855,0.379622,157.255500
T29_1038_conv.pdb,0,0.350975,0.016015,-129.405600
T29_1039_conv.pdb,0,0.053598,0.023398,-67.019700
T29_103_conv.pdb,0,0.173719,-0.006374,66.040270
T29_1040_conv.pdb,0,0.089723,0.464374,-64.866360
T29_1042_conv.pdb,0,0.349767,0.016630,-122.720200
T29_1043_conv.pdb,0,0.027105,0.008202,-14.881860
T29_1044_conv.pdb,0,0.274486,0.129468,-49.565940
T29_1045_conv.pdb,0,0.079224,0.024471,-131.386500
T29_1046_conv.pdb,0,0.015276,0.113192,-75.365380
T29_1047_conv.pdb,1,0.192008,0.055641,-92.370380
T29_1048_conv.pdb,1,0.578743,0.220125,-147.698800
T29_1049_conv.pdb,0,0.274197,0.020559,-91.233580
T29_104_conv.pdb,0,0.441829,0.391380,-86.453800
T29_1050_conv.pdb,0,0.051173,0.020237,-79.146820
T29_1051_conv.pdb,0,0.290119,0.035651,-68.519060
T29_1052_conv.pdb,1,0.535410,0.480676,-81.902900
T29_1053_conv.pdb,0,0.469022,0.250340,-168.917990
T29_1054_conv.pdb,0,0.027866,0.010660,-34.728030
T29_1055_conv.pdb,0,0.182977,0.015910,530.494940
T29_1057_conv.pdb,0,0.535146,0.012044,-80.231800
T29_1058_conv.pdb,0,0.119294,-0.000044,-88.098840
T29_1059_conv.pdb,0,0.040047,0.025969,-65.836952
T29_105_conv.pdb,0,0.544348,0.013014,-40.050260
T29_1060_conv.pdb,0,0.106008,0.039620,415.041996
T29_1061_conv.pdb,0,0.048943,0.027068,4842.029760
T29_1062_conv.pdb,0,0.183947,0.042165,-122.607800
T29_1063_conv.pdb,1,0.599588,0.016026,-172.650800
T29_1064_conv.pdb,0,0.099457,0.014552,-16.599000
T29_1065_conv.pdb,0,0.109452,0.103609,2950.805770
T29_1066_conv.pdb,0,0.087243,0.015310,-14.738300
T29_1067_conv.pdb,0,0.012409,0.007473,-43.933820
T29_1068_conv.pdb,0,0.087048,0.007495,-84.189900
T29_106_conv.pdb,0,0.438635,0.017132,-38.149298
T29_1070_conv.pdb,0,0.085943,0.020318,6450.329220
T29_1071_conv.pdb,0,0.132115,0.012170,-151.314110
T29_1072_conv.pdb,0,0.314089,0.297977,-39.402600
T29_1073_conv.pdb,0,0.313361,0.036232,8133.254178
T29_1074_conv.pdb,0,0.065983,0.006443,-58.419060
T29_1075_conv.pdb,0,0.152384,0.018901,-71.803730
T29_1076_conv.pdb,0,0.075757,0.018660,1256.561360
T29_1077_conv.pdb,0,0.050540,0.071329,-79.003620
T29_1078_conv.pdb,0,0.243858,0.012405,-62.575140
T29_1079_conv.pdb,0,0.449568,0.264124,-119.602600
T29_107_conv.pdb,0,0.069924,0.009800,-57.253100
T29_1080_conv.pdb,0,0.150768,0.127187,-19.295511
T29_1081_conv.pdb,0,0.565462,0.017453,-162.760880
T29_1082_conv.pdb,1,0.589742,0.471016,-163.907900
T29_1083_conv.pdb,0,0.347934,0.047452,239.393940
T29_1084_conv.pdb,0,0.381525,0.018526,-50.937160
T29_1085_conv.pdb,0,0.250362,0.021053,-94.252595
T29_1086_conv.pdb,0,0.403615,0.014656,-30.952240
T29_1087_conv.pdb,0,0.024650,0.027925,-57.470100
T29_1088_conv.pdb,0,0.220911,0.012861,69.117110
T29_1089_conv.pdb,0,0.603907,0.041866,-175.623470
T29_108_conv.pdb,0,0.149214,0.041682,-57.212150
T29_1091_conv.pdb,0,0.689209,0.017108,2277.152720
T29_1092_conv.pdb,0,0.269347,0.072406,20.349200
T29_1093_conv.pdb,0,0.268352,0.257527,-9.494230
T29_1094_conv.pdb,0,0.682583,0.069587,644.288300
T29_1095_conv.pdb,0,0.360034,0.082602,-119.195100
T29_1096_conv.pdb,0,0.022815,0.013574,-40.484410
T29_1097_conv.pdb,0,0.523356,0.026138,83.630790
T29_1098_conv.pdb,0,0.020306,0.016348,-53.055980
T29_1099_conv.pdb,1,0.622587,0.018616,-162.371800
T29_1100_conv.pdb,0,0.095482,0.443565,4881.052960
T29_1101_conv.pdb,0,0.788212,0.017532,167.103600
T29_1102_conv.pdb,0,0.047038,0.011535,-80.049300
T29_1103_conv.pdb,0,0.258465,0.328143,-27.322080
T29_1104_conv.pdb,0,0.013377,0.003833,-100.692340
T29_1105_conv.pdb,0,0.205015,0.022048,-48.663120
T29_1106_conv.pdb,0,0.071260,0.003405,-36.121950
T29_1107_conv.pdb,0,0.184563,0.010271,-36.952600
T29_1109_conv.pdb,0,0.047245,0.013472,-77.424110
T29_1110_conv.pdb,0,0.242701,0.005382,-58.122450
T29_1111_conv.pdb,0,0.460772,0.204989,-128.674940
T29_1112_conv.pdb,0,0.067342,0.005200,42.988120
T29_1113_conv.pdb,0,0.370941,0.023814,-86.324500
T29_1114_conv.pdb,0,0.055089,0.011277,-55.687878
T29_1115_conv.pdb,0,0.450257,0.018122,60.865260
T29_1116_conv.pdb,0,0.029971,0.011099,-37.046869
T29_1117_conv.pdb,0,0.369266,0.035575,13.999060
T29_1118_conv.pdb,0,0.180924,0.021216,-110.691200
T29_1119_conv.pdb,0,0.158304,0.007240,-85.556130
T29_111_conv.pdb,1,0.633873,0.043541,-179.361900
T29_1120_conv.pdb,1,0.589433,0.046776,-156.763200
T29_1121_conv.pdb,0,0.042779,-0.001323,43.363460
T29_1122_conv.pdb,0,0.455673,0.025286,585.473370
T29_1123_conv.pdb,0,0.074289,0.009054,-37.888490
T29_1125_conv.pdb,0,0.102419,0.014380,4982.754380
T29_1126_conv.pdb,0,0.365397,0.013192,-58.786070
T29_1127_conv.pdb,0,0.148767,0.001554,-117.753880
T29_1128_conv.pdb,0,0.154939,0.022298,-54.326400
T29_1129_conv.pdb,0,0.599394,0.008359,99.196140
T29_112_conv.pdb,0,0.265544,0.135545,-26.956080
T29_1130_conv.pdb,0,0.175353,0.098326,235.669050
T29_1131_conv.pdb,0,0.011634,0.003344,-86.099700
T29_1132_conv.pdb,0,0.016386,0.017457,663.169390
T29_1133_conv.pdb,0,0.163293,0.012042,15.779220
T29_1134_conv.pdb,0,0.005397,0.011054,-42.457585
T29_1135_conv.pdb,0,0.220196,0.012989,-61.854800
T29_1136_conv.pdb,0,0.174859,0.051691,273.631970
T29_1137_conv.pdb,0,0.078685,0.007319,-47.137880
T29_1138_conv.pdb,0,0.141311,0.194841,-35.418850
T29_1139_conv.pdb,0,0.095412,0.646104,-31.169870
T29_113_conv.pdb,0,0.051288,0.020194,-11.697250
T29_1140_conv.pdb,0,0.058209,0.016443,-50.164990
T29_1141_conv.pdb,0,0.264396,0.006961,-54.750200
T29_1142_conv.pdb,0,0.024525,0.178509,-20.929590
T29_1143_conv.pdb,0,0.057630,0.054768,-93.173800
T29_1144_conv.pdb,0,0.136283,0.036832,-65.764520
T29_1145_conv.pdb,1,0.596007,0.696088,-158.943700
T29_1146_conv.pdb,1,0.412146,0.022182,-168.862100
T29_1147_conv.pdb,0,0.079400,0.034711,-58.341600
T29_1148_conv.pdb,0,0.157843,0.018607,-78.046920
T29_1149_conv.pdb,0,0.016624,0.171790,-66.969560
T29_114_conv.pdb,0,0.035976,0.012582,1.251540
T29_1150_conv.pdb,1,0.546247,0.163971,-153.369900
T29_1152_conv.pdb,0,0.176936,0.058197,-71.337900
T29_1153_conv.pdb,0,0.020472,0.013819,1138.822220
T29_1154_conv.pdb,0,0.385817,0.018860,54.292700
T29_1155_conv.pdb,0,0.024204,-0.008140,-77.398100
T29_1156_conv.pdb,0,0.048314,0.008216,-5.085696
T29_1157_conv.pdb,0,0.230308,0.019645,-68.887170
T29_1158_conv.pdb,0,0.464868,0.385696,-126.000300
T29_1159_conv.pdb,0,0.353231,0.007130,-75.776200
T29_115_conv.pdb,0,0.246658,0.111988,-99.659940
T29_1160_conv.pdb,0,0.050485,-0.000146,-88.439800
T29_1161_conv.pdb,0,0.055964,0.018665,-109.094320
T29_1162_conv.pdb,0,0.023857,0.015338,-57.254300
T29_1163_conv.pdb,0,0.031103,0.008541,-19.329390
T29_1164_conv.pdb,0,0.186068,0.015640,-79.564420
T29_1165_conv.pdb,0,0.070316,0.086449,-124.172110
T29_1166_conv.pdb,0,0.027893,0.011096,-109.325920
T29_1168_conv.pdb,0,0.472675,0.017874,-127.355300
T29_1169_conv.pdb,0,0.022424,0.316256,-85.773060
T29_1170_conv.pdb,0,0.443580,0.016615,-144.002900
T29_1171_conv.pdb,0,0.204514,0.004321,-30.579960
T29_1172_conv.pdb,0,0.121802,0.001050,-79.323135
T29_1173_conv.pdb,0,0.373223,0.010649,-55.799740
T29_1174_conv.pdb,0,0.040461,0.017428,1954.968840
T29_1175_conv.pdb,0,0.272033,0.017258,-204.254900
T29_1176_conv.pdb,0,0.257299,0.100683,-58.351900
T29_1177_conv.pdb,0,0.204328,0.020039,-65.631900
T29_1178_conv.pdb,0,0.012006,0.011859,-11.670440
T29_1179_conv.pdb,0,0.370941,0.012237,-39.985130
T29_1180_conv.pdb,0,0.319179,0.013615,-106.928250
T29_1181_conv.pdb,0,0.111222,0.085658,-134.663941
T29_1182_conv.pdb,0,0.036415,0.016001,-21.932450
T29_1183_conv.pdb,0,0.214172,0.084498,-70.457038
T29_1184_conv.pdb,0,0.089456,0.005864,-47.716390
T29_1185_conv.pdb,0,0.116791,0.005157,2324.045300
T29_1186_conv.pdb,0,0.255280,0.004069,2774.400108
T29_1187_conv.pdb,0,0.255981,0.106849,-244.478330
T29_1188_conv.pdb,0,0.072706,0.017978,-111.260700
T29_1189_conv.pdb,0,0.169062,0.044306,-124.682650
T29_118_conv.pdb,0,0.162860,0.022742,-70.348364
T29_1190_conv.pdb,1,0.165507,0.210003,-91.892340
T29_1191_conv.pdb,0,0.472094,0.015315,-56.025580
T29_1192_conv.pdb,0,0.088402,0.001832,-45.614000
T29_1193_conv.pdb,0,0.078633,-0.001946,-75.606390
T29_1194_conv.pdb,0,0.352656,0.401596,-99.617900
T29_1195_conv.pdb,0,0.206733,0.010095,-46.209720
T29_1196_conv.pdb,0,0.275322,0.011488,-28.784100
T29_1197_conv.pdb,0,0.209759,0.040805,-33.603180
T29_1198_conv.pdb,0,0.183106,0.117834,-89.816630
T29_1199_conv.pdb,0,0.015835,0.059680,-109.678720
T29_119_conv.pdb,0,0.167414,0.020853,-57.468280
T29_11_conv.pdb,0,0.037890,0.020334,-127.500871
T29_1201_conv.pdb,0,0.326204,0.019092,-69.266100
T29_1202_conv.pdb,0,0.006085,0.008833,-17.083710
T29_1203_conv.pdb,0,0.516047,0.014271,-7.061202
T29_1204_conv.pdb,1,0.585590,0.032379,-164.861400
T29_1206_conv.pdb,0,0.303254,0.016169,-107.817620
T29_1207_conv.pdb,0,0.093928,0.008621,7776.587560
T29_1208_conv.pdb,0,0.314888,0.011907,-105.854700
T29_1209_conv.pdb,0,0.372194,0.016797,-24.009290
T29_120_conv.pdb,0,0.539135,0.071443,216.370360
T29_1210_conv.pdb,1,0.523618,0.085646,-90.107300
T29_1211_conv.pdb,0,0.110504,0.008437,14.304900
T29_1212_conv.pdb,0,0.125842,0.016622,-95.603050
T29_1213_conv.pdb,0,0.606473,0.018842,-179.204350
T29_1214_conv.pdb,0,0.314711,0.038259,-85.139210
T29_1215_conv.pdb,0,0.090773,0.008952,-106.579200
T29_1216_conv.pdb,0,0.074294,0.007158,71.082590
T29_1217_conv.pdb,0,0.063619,0.017466,86.446010
T29_1218_conv.pdb,0,0.633270,0.170320,-223.686600
T29_1219_conv.pdb,0,0.218869,0.017136,-80.370700
T29_121_conv.pdb,0,0.361128,0.171216,-86.628600
T29_1221_conv.pdb,1,0.512082,0.099716,-130.723600
T29_1222_conv.pdb,0,0.115606,0.015429,-60.814570
T29_1223_conv.pdb,0,0.074434,0.006993,-71.709060
T29_1224_conv.pdb,0,0.260996,0.020912,-27.055730
T29_1225_conv.pdb,0,0.012516,0.008454,-93.682720
T29_1226_conv.pdb,0,0.145737,0.311235,-53.233700
T29_1227_conv.pdb,0,0.004462,0.001259,-79.976810
T29_1228_conv.pdb,0,0.290231,0.012628,-62.019420
T29_1229_conv.pdb,0,0.335195,0.019510,-64.150540
T29_122_conv.pdb,0,0.207651,0.060766,-82.231520
T29_1230_conv.pdb,0,0.150054,0.012632,-64.472020
T29_1231_conv.pdb,0,0.038760,0.016864,-62.944240
T29_1232_conv.pdb,0,0.308339,0.041936,-73.391300
T29_1233_conv.pdb,0,0.253111,0.020301,-90.396700
T29_1234_conv.pdb,0,0.315881,0.014415,-50.074640
T29_1235_conv.pdb,0,-0.002020,0.007806,-3.123212
T29_1236_conv.pdb,0,0.053604,0.018652,-9.326240
T29_1237_conv.pdb,0,0.279619,0.010827,-12.695550
T29_1238_conv.pdb,0,0.047894,0.000188,-11.341610
T29_1239_conv.pdb,0,0.109507,0.074668,-63.999200
T29_123_conv.pdb,0,0.512969,0.017476,1148.624120
T29_1240_conv.pdb,0,0.087075,0.003854,-106.366490
T29_1241_conv.pdb,0,0.008107,0.008112,-33.611400
T29_1242_conv.pdb,0,0.500440,0.015593,-60.798470
T29_1243_conv.pdb,0,0.024732,0.017223,46.755870
T29_1244_conv.pdb,0,0.434493,0.009407,-139.926650
T29_1245_conv.pdb,1,0.524916,0.606428,-165.908800
T29_1246_conv.pdb,0,0.148313,0.028347,-67.222780
T29_1247_conv.pdb,0,0.118700,0.009003,-36.549292
T29_1248_conv.pdb,0,0.150456,0.082196,-107.391890
T29_1249_conv.pdb,1,0.533949,0.018076,-155.833600
T29_124_conv.pdb,0,0.057764,0.013295,-33.734042
T29_1250_conv.pdb,0,0.221774,0.019951,-81.204400
T29_1251_conv.pdb,0,0.200162,0.002268,5075.086620
T29_1252_conv.pdb,0,0.836705,0.066650,-326.055400
T29_1253_conv.pdb,0,0.016205,0.005561,-16.354736
T29_1254_conv.pdb,0,0.034725,0.006435,-45.920160
T29_1255_conv.pdb,1,0.070094,0.023829,-73.073720
T29_1256_conv.pdb,0,0.508993,0.017118,132.361030
T29_1257_conv.pdb,0,0.043572,0.015632,-82.864500
T29_1258_conv.pdb,0,0.485900,0.028602,-116.487400
T29_1259_conv.pdb,0,0.364752,0.026041,-82.404100
T29_125_conv.pdb,0,0.673696,0.018223,-189.580120
T29_1260_conv.pdb,1,0.630735,0.068271,-142.846700
T29_1261_conv.pdb,0,0.212536,0.005418,14.831120
T29_1262_conv.pdb,0,0.141872,0.009941,416.296860
T29_1263_conv.pdb,0,0.256001,0.003026,-76.881540
T29_1266_conv.pdb,0,0.040525,0.019335,-119.349680
T29_1267_conv.pdb,1,0.616734,0.329677,-150.963000
T29_1268_conv.pdb,1,0.600948,0.041589,-26.639640
T29_1269_conv.pdb,0,0.227238,0.458028,-145.832600
T29_126_conv.pdb,1,0.651641,0.040967,-159.857200
T29_1270_conv.pdb,0,0.348205,0.019032,13.788060
T29_1271_conv.pdb,0,0.139454,0.041116,1048.985900
T29_1272_conv.pdb,0,0.236280,0.012059,-179.342450
T29_1273_conv.pdb,1,0.609352,0.410073,-155.722200
T29_1274_conv.pdb,0,0.022706,0.007702,-84.408400
T29_1275_conv.pdb,0,0.750311,0.009049,-247.659230
T29_1276_conv.pdb,0,0.503377,0.003072,-15.349110
T29_1277_conv.pdb,0,0.190922,0.038167,-83.259820
T29_1278_conv.pdb,0,0.102789,0.020811,-100.090078
T29_1279_conv.pdb,0,0.097907,0.019520,-35.747510
T29_127_conv.pdb,0,0.489135,0.122617,-38.100000
T29_1280_conv.pdb,0,0.469497,0.013865,-167.493900
T29_1281_conv.pdb,0,0.119991,0.023212,-60.298530
T29_1282_conv.pdb,0,0.010103,0.006564,-67.779380
T29_1283_conv.pdb,0,0.046288,0.022160,554.780400
T29_1284_conv.pdb,0,0.140699,0.020027,102.576860
T29_1285_conv.pdb,0,0.130752,0.020673,-49.642290
T29_1286_conv.pdb,1,0.134153,0.022100,-73.652700
T29_1287_conv.pdb,0,0.154186,0.570438,-146.462600
T29_1288_conv.pdb,0,0.510167,0.029694,-130.692000
T29_1289_conv.pdb,0,0.794436,0.016237,-244.903990
T29_128_conv.pdb,0,0.161299,0.017027,-150.899930
T29_1290_conv.pdb,0,0.000734,-0.009591,-6.846880
T29_1291_conv.pdb,0,0.398709,0.019016,5.693020
T29_1292_conv.pdb,0,0.050527,0.009869,456.932600
T29_1293_conv.pdb,0,0.161268,0.017701,-63.562200
T29_1294_conv.pdb,0,0.442320,0.016825,-163.172300
T29_1296_conv.pdb,0,0.548567,0.386426,-154.863800
T29_1297_conv.pdb,0,0.285632,0.023058,-62.744720
T29_1298_conv.pdb,0,0.057109,0.005604,-3.891040
T29_1299_conv.pdb,0,0.541399,0.019298,-26.080410
T29_129_conv.pdb,0,0.543279,-0.000569,405.328160
T29_12_conv.pdb,0,0.071548,0.057596,-3.711000
T29_1300_conv.pdb,0,0.050929,0.002943,-39.997130
T29_1302_conv.pdb,0,0.100337,0.017267,-80.293000
T29_1303_conv.pdb,0,0.395577,0.004401,-24.101860
T29_1304_conv.pdb,0,0.077743,0.026612,-55.811220
T29_1305_conv.pdb,1,0.538868,0.382446,1852.970200
T29_1306_conv.pdb,0,0.014755,0.009086,-66.492480
T29_1307_conv.pdb,0,0.179193,0.134794,-92.643240
T29_1308_conv.pdb,0,0.047102,-0.000968,39.882710
T29_1309_conv.pdb,0,0.119138,0.020296,-73.579800
T29_130_conv.pdb,0,0.100729,0.013106,-81.468100
T29_1310_conv.pdb,0,0.371726,0.009615,-70.773840
T29_1311_conv.pdb,0,0.311081,0.025662,-76.036300
T29_1312_conv.pdb,0,0.237715,0.006625,36.528510
T29_1313_conv.pdb,0,0.022984,0.002986,-98.472120
T29_1315_conv.pdb,0,0.435430,0.019928,-30.221378
T29_1316_conv.pdb,0,0.376056,0.128219,107.730500
T29_1317_conv.pdb,0,0.100997,0.007324,-100.703120
T29_1318_conv.pdb,0,0.010501,0.002043,-21.194076
T29_1319_conv.pdb,0,0.419509,0.018617,-128.829300
T29_131_conv.pdb,0,0.208491,-0.000081,-61.702060
T29_1320_conv.pdb,0,0.147173,0.011608,-84.029941
T29_1321_conv.pdb,0,0.051101,0.024655,-80.461080
T29_1322_conv.pdb,0,0.022476,0.013362,16.805960
T29_1323_conv.pdb,0,0.103251,0.013657,-127.837500
T29_1324_conv.pdb,0,0.028797,0.005367,-39.404800
T29_1325_conv.pdb,0,0.002625,0.003160,-63.658470
T29_1326_conv.pdb,0,0.265667,0.014540,1427.062510
T29_1327_conv.pdb,0,0.060329,0.032512,-77.239500
T29_1328_conv.pdb,0,0.080547,0.014024,5.787200
T29_1329_conv.pdb,1,0.507022,0.012639,1001.135880
T29_132_conv.pdb,0,0.194285,0.008901,-108.468100
T29_1330_conv.pdb,0,0.060779,0.065401,-50.880340
T29_1332_conv.pdb,0,0.447728,0.012867,-11.773490
T29_1333_conv.pdb,0,0.298207,0.026458,9344.376660
T29_1336_conv.pdb,0,0.200296,0.014593,-57.850558
T29_1338_conv.pdb,0,0.436445,0.273369,4603.327616
T29_133_conv.pdb,1,0.517227,0.295463,-175.802600
T29_1340_conv.pdb,0,0.225778,0.011803,-112.137970
T29_1341_conv.pdb,0,0.238565,0.011284,-123.605540
T29_1342_conv.pdb,1,0.097283,0.074027,-75.627840
T29_1343_conv.pdb,0,0.078428,0.003669,-95.142300
T29_1344_conv.pdb,0,0.087069,0.012144,-73.087800
T29_1345_conv.pdb,0,0.093411,0.037176,-44.830520
T29_1346_conv.pdb,0,0.367648,0.026736,-53.997800
T29_1347_conv.pdb,0,0.342733,0.058475,-52.365920
T29_1348_conv.pdb,0,0.051211,0.005656,-93.813600
T29_1349_conv.pdb,0,0.246737,0.005494,-0.501850
T29_134_conv.pdb,0,0.376513,0.026385,-199.290700
T29_1350_conv.pdb,0,0.147727,0.012676,-87.339530
T29_1351_conv.pdb,0,0.177089,0.110745,10228.641500
T29_1352_conv.pdb,0,0.015576,0.013574,-69.724290
T29_1353_conv.pdb,0,0.352287,0.012575,-25.406120
T29_1354_conv.pdb,1,0.643348,0.299849,-147.825600
T29_1355_conv.pdb,0,0.265403,0.009878,213.305270
T29_1356_conv.pdb,0,0.162259,0.242710,-53.674090
T29_1357_conv.pdb,0,0.336875,0.019232,-28.695500
T29_1358_conv.pdb,0,0.056164,0.008747,-90.837000
T29_1359_conv.pdb,0,0.147768,0.011042,6936.916280
T29_135_conv.pdb,0,0.145875,0.010425,-45.085756
T29_1360_conv.pdb,0,0.417121,0.017791,1414.003710
T29_1361_conv.pdb,0,0.173464,0.012016,-62.206750
T29_1362_conv.pdb,0,0.378894,0.012732,-9.666820
T29_1363_conv.pdb,0,0.048496,0.017105,-103.720120
T29_1364_conv.pdb,0,0.585909,0.014379,67.535100
T29_1365_conv.pdb,1,0.602791,0.020974,-156.226900
T29_1366_conv.pdb,0,0.138804,0.017691,-59.903180
T29_1367_conv.pdb,0,0.009050,0.002276,-98.359320
T29_1368_conv.pdb,0,0.381301,0.094024,-75.217900
T29_1369_conv.pdb,0,0.065337,0.009471,-34.755790
T29_136_conv.pdb,0,0.309946,0.015690,-61.270462
T29_1371_conv.pdb,0,0.012261,0.006251,-89.399490
T29_1372_conv.pdb,0,0.388952,0.016356,0.914250
T29_1373_conv.pdb,0,0.316396,0.014916,-62.634710
T29_1374_conv.pdb,0,0.019145,0.017888,-20.917780
T29_1376_conv.pdb,0,0.271499,0.005847,-122.249970
T29_1377_conv.pdb,0,0.554621,0.024756,430.001158
T29_1378_conv.pdb,0,0.470790,0.173587,-41.798980
T29_1379_conv.pdb,0,0.770678,0.015482,-231.290280
T29_137_conv.pdb,0,0.183577,0.007197,6145.744220
T29_1380_conv.pdb,0,0.081633,0.013546,-91.655627
T29_1381_conv.pdb,0,0.475842,0.344820,3.613106
T29_1382_conv.pdb,0,0.250409,0.013099,-84.499200
T29_1383_conv.pdb,0,0.015031,0.008414,-10.829350
T29_1384_conv.pdb,0,0.017728,0.003337,-60.033400
T29_1385_conv.pdb,0,0.332630,0.018430,-99.072600
T29_1386_conv.pdb,0,0.273954,0.085521,-153.051800
T29_1387_conv.pdb,0,0.197089,0.016065,-87.341390
T29_1388_conv.pdb,0,0.078468,0.014885,26.518210
T29_1389_conv.pdb,0,0.022769,0.006640,-44.132770
T29_138_conv.pdb,0,0.650147,0.018515,-60.181155
T29_1390_conv.pdb,0,0.370938,0.053783,-43.820840
T29_1391_conv.pdb,0,0.028046,0.010059,-64.353660
T29_1392_conv.pdb,0,0.120467,0.008831,-37.571400
T29_1393_conv.pdb,0,0.065262,0.008461,-23.459880
T29_1394_conv.pdb,0,0.016595,0.009791,-14.451840
T29_1395_conv.pdb,0,0.067490,0.001690,6006.172200
T29_1396_conv.pdb,0,0.052490,0.013867,-90.626260
T29_1397_conv.pdb,0,0.020261,0.012307,-68.995020
T29_1399_conv.pdb,0,0.509402,0.252367,260.589500
T29_139_conv.pdb,0,0.016765,0.011140,-96.671640
T29_13_conv.pdb,0,0.165454,0.008712,-119.312740
T29_1400_conv.pdb,0,0.405565,0.046134,278.591600
T29_1402_conv.pdb,0,0.091066,0.314951,-71.655000
T29_1403_conv.pdb,0,0.127605,0.011806,-96.383000
T29_1405_conv.pdb,1,0.548450,0.258599,-154.592300
T29_1406_conv.pdb,0,0.175348,0.011355,-56.578680
T29_1408_conv.pdb,0,0.202714,0.012573,35.629910
T29_1409_conv.pdb,0,0.020313,0.017108,-80.661040
T29_1410_conv.pdb,0,0.380436,0.010809,-157.738950
T29_1411_conv.pdb,0,0.256178,0.240364,61.699020
T29_1413_conv.pdb,0,0.017502,0.011773,-68.103800
T29_1414_conv.pdb,0,0.143014,0.010768,-70.607930
T29_1415_conv.pdb,0,0.259661,0.012852,-70.623900
T29_1416_conv.pdb,0,0.182847,0.014119,-58.327320
T29_1417_conv.pdb,0,0.022719,0.003832,-83.338080
T29_1418_conv.pdb,0,0.096622,0.013659,-158.192800
T29_1419_conv.pdb,1,0.545277,0.381832,1983.982900
T29_141_conv.pdb,0,0.242387,0.174980,-42.701230
T29_1420_conv.pdb,0,0.000547,-0.009396,-59.032100
T29_1421_conv.pdb,0,0.670114,0.008032,-235.467900
T29_1422_conv.pdb,0,0.606050,0.017871,-160.059900
T29_1423_conv.pdb,0,0.087617,0.016831,-74.950300
T29_1424_conv.pdb,0,0.456999,0.006334,-70.452420
T29_1425_conv.pdb,0,0.033269,0.030051,-96.519100
T29_1426_conv.pdb,0,0.111471,0.019630,-31.117440
T29_1427_conv.pdb,0,0.313734,0.016162,-86.171700
T29_1428_conv.pdb,0,0.108665,0.014333,-81.563650
T29_1429_conv.pdb,0,0.188300,0.016079,-22.012990
T29_142_conv.pdb,0,0.007907,0.001599,-60.382740
T29_1430_conv.pdb,0,0.031986,0.004909,-61.261200
T29_1432_conv.pdb,0,0.300577,0.004819,-153.748660
T29_1433_conv.pdb,0,0.596210,0.167490,286.049278
T29_1434_conv.pdb,0,0.002208,0.004918,-56.563390
T29_1436_conv.pdb,0,0.058029,0.016592,-72.112840
T29_1437_conv.pdb,0,0.066151,0.015403,25.658140
T29_1438_conv.pdb,0,0.100208,0.009362,-71.025500
T29_1439_conv.pdb,0,0.283887,0.020264,-75.787860
T29_143_conv.pdb,0,0.701687,0.023142,-276.567480
